Designator,Mid X,Mid Y,Rotation,Layer
C1,143.208,-47.444,270.0,bottom
C10,168.91,-101.852,0.0,bottom
C11,173.736,-117.346,0.0,bottom
C12,159.209,-114.298,180.0,bottom
C13,173.785,-114.552,0.0,bottom
C14,159.209,-111.25,180.0,bottom
C17,102.87,-85.09,270.0,bottom
C18,113.55,-113.0,0.0,bottom
C19,113.0,-106.0,180.0,bottom
C2,145.748,-47.444,270.0,bottom
C22,138.938,-114.046,270.0,bottom
C23,143.764,-128.778,180.0,bottom
C24,125.476,-117.094,180.0,bottom
C3,138.89,-41.397,90.0,bottom
C4,123.396,-46.223,90.0,bottom
C5,126.19,-46.272,90.0,bottom
C6,126.444,-31.696,270.0,bottom
C7,129.492,-31.696,270.0,bottom
C8,174.957,-97.534,180.0,bottom
C9,174.957,-94.994,180.0,bottom
D1,129.872,-38.349,180.0,bottom
D2,165.862,-110.87,90.0,bottom
DC1,166.425,-36.0,270.0,bottom
J1,123.995,-89.916,0.0,top
L1,118.824,-33.599,90.0,bottom
L2,161.112,-121.918,0.0,bottom
Q2,132.826,-79.633,180.0,bottom
R10,142.748,-83.566,90.0,bottom
R12,138.43,-123.19,270.0,bottom
R14,138.43,-128.27,270.0,bottom
R15,116.792,-52.039,270.0,bottom
R16,178.08,-104.646,180.0,bottom
R17,177.546,-116.076,270.0,bottom
R18,174.498,-123.95,180.0,bottom
R19,179.552,-123.95,180.0,bottom
R2,144.78,-78.994,180.0,bottom
R20,91.694,-37.338,270.0,top
R21,98.806,-39.878,270.0,top
R22,121.0,-119.0,270.0,bottom
R23,122.0,-108.0,0.0,bottom
R24,115.544,-117.602,0.0,bottom
R25,115.544,-120.65,0.0,bottom
R3,138.938,-94.234,90.0,bottom
R4,138.938,-89.154,90.0,bottom
R6,136.096,-50.541,270.0,bottom
R7,124.666,-50.033,0.0,bottom
R8,116.792,-46.985,270.0,bottom
U1,112.776,-82.042,180.0,bottom
U10,144.0,-123.0,90.0,bottom
U11,114.0,-109.0,90.0,bottom
U2,93.11,-52.19,0.0,bottom
U3,133.294,-45.329,180.0,bottom
U4,172.852,-107.416,90.0,bottom
U8,132.0,-113.0,0.0,bottom
U9,121.0,-113.0,0.0,bottom
